group,accuracy,n,true_label
MAR_multi_predictor_seed1767737471_mr4.txt,0.0,1,MAR
MCAR_fixed_seed52290577_mr3.txt,0.0,1,MCAR
MCAR_fixed_seed456451599_mr3.txt,0.0,1,MCAR
MCAR_fixed_seed1042367434_mr3.txt,0.0,1,MCAR
MCAR_fixed_seed1446528456_mr7.txt,0.0,1,MCAR
MAR_multi_predictor_seed153939553_mr4.txt,0.0,1,MAR
MAR_multi_predictor_seed1775704964_mr3.txt,0.0,1,MAR
MNAR_tail_censoring_seed1902514176_mr10.txt,0.0,1,MNAR
MCAR_uniform_seed78458361_mr6.txt,1.0,1,MCAR
MCAR_uniform_seed801692353_mr4.txt,1.0,1,MCAR
MCAR_uniform_seed154242857_mr5.txt,1.0,1,MCAR
MCAR_fixed_seed1651837660_mr9.txt,1.0,1,MCAR
MCAR_fixed_seed1827135087_mr7.txt,1.0,1,MCAR
MCAR_fixed_seed1834928536_mr10.txt,1.0,1,MCAR
MCAR_uniform_seed16924700_mr9.txt,1.0,1,MCAR
MCAR_fixed_seed1986671572_mr2.txt,1.0,1,MCAR
MCAR_uniform_seed1532719794_mr8.txt,1.0,1,MCAR
MCAR_fixed_seed402885431_mr10.txt,1.0,1,MCAR
MCAR_fixed_seed410678880_mr6.txt,1.0,1,MCAR
MCAR_uniform_seed1319617141_mr8.txt,1.0,1,MCAR
MCAR_fixed_seed905049277_mr6.txt,1.0,1,MCAR
MCAR_fixed_seed928603668_mr9.txt,1.0,1,MCAR
MCAR_uniform_seed397531331_mr6.txt,1.0,1,MCAR
MNAR_quantile_threshold_seed1140408392_mr5.txt,1.0,1,MNAR
MAR_logistic_seed1101139123_mr5.txt,1.0,1,MAR
MNAR_quantile_threshold_seed1345717596_mr9.txt,1.0,1,MNAR
MNAR_self_noisy_seed1521894691_mr5.txt,1.0,1,MNAR
MNAR_self_noisy_seed1697192118_mr10.txt,1.0,1,MNAR
MNAR_self_noisy_seed1772976614_mr4.txt,1.0,1,MNAR
MNAR_self_noisy_seed1818749333_mr3.txt,1.0,1,MNAR
MNAR_self_noisy_seed1994046760_mr8.txt,1.0,1,MNAR
MNAR_self_noisy_seed394499677_mr8.txt,1.0,1,MNAR
MNAR_self_noisy_seed410260619_mr8.txt,1.0,1,MNAR
MNAR_self_noisy_seed973958126_mr2.txt,1.0,1,MNAR
MNAR_tail_censoring_seed1034168578_mr7.txt,1.0,1,MNAR
MNAR_tail_censoring_seed1041962027_mr5.txt,1.0,1,MNAR
MNAR_self_noisy_seed1354564757_mr1.txt,1.0,1,MNAR
MNAR_tail_censoring_seed1263032173_mr9.txt,1.0,1,MNAR
MNAR_tail_censoring_seed1376795939_mr6.txt,1.0,1,MNAR
MNAR_tail_censoring_seed1559886815_mr10.txt,1.0,1,MNAR
MNAR_tail_censoring_seed1621420476_mr1.txt,1.0,1,MNAR
MNAR_tail_censoring_seed1643638804_mr6.txt,1.0,1,MNAR
MNAR_tail_censoring_seed265161867_mr4.txt,1.0,1,MNAR
MNAR_tail_censoring_seed310934586_mr8.txt,1.0,1,MNAR
MNAR_tail_censoring_seed402480024_mr5.txt,1.0,1,MNAR
MNAR_tail_censoring_seed562016509_mr1.txt,1.0,1,MNAR
MNAR_tail_censoring_seed67646112_mr1.txt,1.0,1,MNAR
MNAR_tail_censoring_seed760868327_mr6.txt,1.0,1,MNAR
MNAR_tail_censoring_seed1308804892_mr3.txt,1.0,1,MNAR
MNAR_quantile_threshold_seed1216192888_mr2.txt,1.0,1,MNAR
MNAR_self_noisy_seed1255051826_mr6.txt,1.0,1,MNAR
MNAR_self_logistic_seed971087326_mr8.txt,1.0,1,MNAR
MNAR_quantile_threshold_seed1391490315_mr4.txt,1.0,1,MNAR
MNAR_quantile_threshold_seed1604592968_mr6.txt,1.0,1,MNAR
MNAR_quantile_threshold_seed1642572238_mr3.txt,1.0,1,MNAR
MNAR_quantile_threshold_seed1704105899_mr9.txt,1.0,1,MNAR
MNAR_quantile_threshold_seed1711899348_mr8.txt,1.0,1,MNAR
MNAR_quantile_threshold_seed1909415103_mr4.txt,1.0,1,MNAR
MNAR_quantile_threshold_seed1962981271_mr4.txt,1.0,1,MNAR
MNAR_quantile_threshold_seed1985199599_mr10.txt,1.0,1,MNAR
MNAR_quantile_threshold_seed309868020_mr7.txt,1.0,1,MNAR
MNAR_quantile_threshold_seed417174400_mr7.txt,1.0,1,MNAR
MNAR_self_noisy_seed113405977_mr4.txt,1.0,1,MNAR
MNAR_quantile_threshold_seed652495381_mr1.txt,1.0,1,MNAR
MNAR_quantile_threshold_seed714029042_mr5.txt,1.0,1,MNAR
MNAR_quantile_threshold_seed759801761_mr9.txt,1.0,1,MNAR
MNAR_quantile_threshold_seed827792808_mr1.txt,1.0,1,MNAR
MNAR_self_logistic_seed1062632764_mr2.txt,1.0,1,MNAR
MNAR_self_logistic_seed1154178202_mr6.txt,1.0,1,MNAR
MNAR_self_logistic_seed1542578282_mr9.txt,1.0,1,MNAR
MNAR_self_logistic_seed1702114767_mr3.txt,1.0,1,MNAR
MNAR_self_logistic_seed2060503070_mr9.txt,1.0,1,MNAR
MNAR_self_logistic_seed42544130_mr6.txt,1.0,1,MNAR
MNAR_self_logistic_seed903096279_mr6.txt,1.0,1,MNAR
MNAR_quantile_threshold_seed668256323_mr8.txt,1.0,1,MNAR
MCAR_fixed_seed143836015_mr3.txt,1.0,1,MCAR
MCAR_block_seed940344941_mr1.txt,1.0,1,MCAR
MCAR_fixed_seed1354983018_mr8.txt,1.0,1,MCAR
MAR_quantile_group_seed1856134292_mr5.txt,1.0,1,MAR
MAR_quantile_group_seed1810361573_mr1.txt,1.0,1,MAR
MAR_quantile_group_seed1680836865_mr7.txt,1.0,1,MAR
MAR_quantile_group_seed1635064146_mr9.txt,1.0,1,MAR
MAR_quantile_group_seed1513506931_mr6.txt,1.0,1,MAR
MAR_quantile_group_seed142823443_mr6.txt,1.0,1,MAR
MAR_quantile_group_seed188596162_mr10.txt,1.0,1,MAR
MAR_quantile_group_seed1361763895_mr8.txt,1.0,1,MAR
MAR_quantile_group_seed1200891347_mr4.txt,1.0,1,MAR
MAR_quantile_group_seed1178673019_mr2.txt,1.0,1,MAR
MAR_multi_predictor_seed990937311_mr8.txt,1.0,1,MAR
MAR_multi_predictor_seed907185322_mr10.txt,1.0,1,MAR
MAR_multi_predictor_seed701876118_mr1.txt,1.0,1,MAR
MAR_multi_predictor_seed62394115_mr7.txt,1.0,1,MAR
MAR_quantile_group_seed1208684796_mr5.txt,1.0,1,MAR
MAR_multi_predictor_seed534546184_mr6.txt,1.0,1,MAR
MAR_quantile_group_seed1901907011_mr6.txt,1.0,1,MAR
MAR_quantile_group_seed226575432_mr2.txt,1.0,1,MAR
MAR_rank_seed1143812908_mr9.txt,1.0,1,MAR
MAR_quantile_group_seed97050724_mr5.txt,1.0,1,MAR
MAR_quantile_group_seed911830154_mr9.txt,1.0,1,MAR
MAR_quantile_group_seed866057435_mr4.txt,1.0,1,MAR
MAR_quantile_group_seed820284716_mr3.txt,1.0,1,MAR
MAR_quantile_group_seed790272939_mr10.txt,1.0,1,MAR
MAR_quantile_group_seed1993452449_mr8.txt,1.0,1,MAR
MAR_quantile_group_seed774511997_mr4.txt,1.0,1,MAR
MAR_quantile_group_seed523430074_mr9.txt,1.0,1,MAR
MAR_quantile_group_seed501211746_mr3.txt,1.0,1,MAR
MAR_quantile_group_seed485450804_mr4.txt,1.0,1,MAR
MAR_quantile_group_seed431884636_mr3.txt,1.0,1,MAR
MAR_quantile_group_seed348132647_mr6.txt,1.0,1,MAR
MAR_quantile_group_seed318120870_mr10.txt,1.0,1,MAR
MAR_quantile_group_seed736532727_mr6.txt,1.0,1,MAR
MAR_rank_seed1189585627_mr7.txt,1.0,1,MAR
MAR_multi_predictor_seed46633173_mr6.txt,1.0,1,MAR
MAR_multi_predictor_seed313476038_mr9.txt,1.0,1,MAR
MAR_logistic_seed499462346_mr8.txt,1.0,1,MAR
MAR_logistic_seed286359693_mr8.txt,1.0,1,MAR
MAR_logistic_seed224826032_mr9.txt,1.0,1,MAR
MAR_logistic_seed2144782148_mr3.txt,1.0,1,MAR
MAR_logistic_seed2129021206_mr9.txt,1.0,1,MAR
MAR_logistic_seed2099009429_mr4.txt,1.0,1,MAR
MAR_logistic_seed537441616_mr2.txt,1.0,1,MAR
MAR_logistic_seed2053236710_mr10.txt,1.0,1,MAR
MAR_logistic_seed1915918553_mr6.txt,1.0,1,MAR
MAR_logistic_seed1877939283_mr5.txt,1.0,1,MAR
MAR_logistic_seed1802154787_mr6.txt,1.0,1,MAR
MAR_logistic_seed1649075688_mr10.txt,1.0,1,MAR
MAR_logistic_seed1626857360_mr3.txt,1.0,1,MAR
MAR_logistic_seed1511757531_mr4.txt,1.0,1,MAR
MAR_logistic_seed202607704_mr4.txt,1.0,1,MAR
