modelo,acc_direta,acc_hierarquica,delta_acc,recall_MCAR_direta,recall_MAR_direta,recall_MNAR_direta,recall_MCAR_hier,recall_MAR_hier,recall_MNAR_hier,delta_recall_MNAR,acc_level1,cv_logo,cv_groupkfold
RandomForest,0.39322033898305087,0.39661016949152544,0.0033898305084745783,0.4631578947368421,0.37333333333333335,0.32,0.4631578947368421,0.36666666666666664,0.36,0.03999999999999998,0.8203389830508474,0.3674911660777385,0.4381625441696113
GradientBoosting,0.3694915254237288,0.39661016949152544,0.027118644067796627,0.4631578947368421,0.32666666666666666,0.32,0.4631578947368421,0.36666666666666664,0.36,0.03999999999999998,0.8169491525423729,0.37190812720848054,0.4160777385159011
LogisticRegression,0.26101694915254237,0.2677966101694915,0.006779661016949157,0.4421052631578947,0.20666666666666667,0.08,0.4421052631578947,0.21333333333333335,0.1,0.020000000000000004,0.8033898305084746,0.3471731448763251,0.4275618374558304
SVM_RBF,0.3525423728813559,0.36271186440677966,0.010169491525423735,0.37894736842105264,0.4,0.16,0.3894736842105263,0.38666666666666666,0.24,0.07999999999999999,0.7796610169491526,0.32420494699646646,0.37014134275618377
KNN,0.4,0.3864406779661017,-0.013559322033898313,0.49473684210526314,0.35333333333333333,0.36,0.5052631578947369,0.32666666666666666,0.34,-0.019999999999999962,0.7389830508474576,0.3878091872791519,0.42226148409893993
MLP,0.3593220338983051,0.34915254237288135,-0.010169491525423735,0.37894736842105264,0.36666666666666664,0.3,0.37894736842105264,0.36,0.26,-0.03999999999999998,0.7932203389830509,0.30653710247349825,0.37985865724381623
NaiveBayes,0.4033898305084746,0.3898305084745763,-0.013559322033898313,0.4105263157894737,0.3466666666666667,0.56,0.3684210526315789,0.3466666666666667,0.56,0.0,0.7966101694915254,0.4743816254416961,0.4876325088339223
