,accuracy,accuracy,accuracy,f1_macro,f1_macro,f1_macro,recall_MNAR,recall_MNAR,recall_MNAR,acc_level1,acc_level2
,mean,std,max,mean,std,max,mean,std,max,mean,mean
variante,,,,,,,,,,,
V1_direto_stat,0.3699,0.0464,0.4136,0.3797,0.0463,0.424,0.32,0.152,0.54,,
V3_hier_hard,0.4704,0.0408,0.5288,0.4218,0.0812,0.5093,0.3067,0.1606,0.52,0.7936,0.5201
V3plus_fullprob,0.4154,0.0268,0.4576,0.3797,0.0179,0.3998,0.1111,0.0944,0.24,0.8045,0.4181
V3plus_soft3zone,0.4154,0.0268,0.4576,0.3797,0.0179,0.3998,0.1111,0.0944,0.24,0.8045,0.4181
V3plus_threshold,0.4851,0.0747,0.6542,0.4459,0.037,0.515,0.3044,0.163,0.52,0.8045,0.5209
