trial,accuracy_cv,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,min_child_weight
0,0.8222994652406417,423,2,0.07410113540067735,0.6822209602840257,0.9750690835742101,3.3357656197937655,0.3405114185032451,10
1,0.8225632798573974,211,7,0.08651474028129655,0.5509264141370628,0.848796385901637,0.005840842650288858,0.0010184801370996452,6
2,0.8225632798573976,489,6,0.031320536101987005,0.5607825466372014,0.8757017391317701,0.15854148098718804,0.7560465001320469,7
3,0.8228413547237077,162,5,0.2651858748300539,0.5080908903044763,0.9663148595581303,0.45821565395162195,0.015595308171327373,2
4,0.8569518716577541,478,4,0.0014273434543296628,0.570874360529549,0.9960745680188638,9.922891648139665,0.03990764923621905,1
5,0.8185490196078431,188,2,0.06491294255311383,0.6239838584731374,0.9478442108853185,2.8568476036086707,0.02236526575777803,6
6,0.8131461675579322,476,7,0.053460222161701085,0.87460285902996,0.9619697075948479,0.06471081081339324,0.005468757687145715,4
7,0.8122156862745099,283,3,0.14278739650275274,0.5503130522302841,0.6502115378385009,4.140875042245211,0.002129448589389426,4
8,0.8182156862745098,187,3,0.16981513704063153,0.8748366938371406,0.5268303228938618,0.1394557210911329,7.811636964079383,2
9,0.8569518716577541,212,2,0.0032555286355888113,0.8348726331814545,0.8442708770359006,7.531048063252076,0.09887979717734059,4
10,0.8569518716577541,363,5,0.0010531698377459944,0.9833008275300046,0.7204370086817298,0.0017353290963926901,0.09294431921014856,10
11,0.8569518716577541,318,4,0.0019389668738031714,0.7730547210133059,0.8167807572315366,9.14938722105655,0.09531830839968408,1
12,0.8569518716577541,75,4,0.006121742849698605,0.7883461709018292,0.799773078470178,0.8335623572702605,0.6431444126877723,4
13,0.8569518716577541,63,3,0.00573430163699857,0.6959433972768921,0.8963694284108933,1.1914345401441695,0.028269189302798627,1
14,0.844951871657754,376,8,0.0036756213501698354,0.8512340246235444,0.7256840407605462,9.859848368370757,3.7008170558346807,8
15,0.8212852049910874,225,4,0.010010450308250571,0.971291688869204,0.6159615775777463,0.012200476280462903,0.2194142815992606,3
16,0.8569518716577541,109,2,0.001100735382780488,0.7024222930376284,0.9147230407989055,0.035672673745466045,0.0561554008564404,3
17,0.8422852049910873,262,3,0.0028862032163719715,0.6339888947633744,0.8000861796026275,0.42248120131376843,0.006829612869130839,5
18,0.8202156862745099,420,6,0.020417591753808622,0.8195510750263314,0.665593560571633,1.543756646023587,0.21305241033727512,8
19,0.8569518716577541,124,4,0.001970835203873527,0.9042241871336048,0.9156333646262675,4.509614377735797,1.7874550014667467,2
20,0.8249518716577541,338,2,0.012195455020143197,0.7377115092745785,0.9900648201295819,0.35359478541919787,0.04391087758911489,5
21,0.8489518716577539,431,5,0.0013267845061697252,0.9856378333374195,0.7445045892813995,0.0028432656683222168,0.09318744739414048,9
22,0.844951871657754,393,6,0.0020300541570679492,0.9042640594720162,0.694659333462284,0.0010843542071898417,0.010826598842156835,10
23,0.8569518716577541,339,5,0.0010473207303355685,0.949336049547493,0.5674233575546412,0.00945088812692366,0.15369924112948058,7
24,0.8356185383244206,264,4,0.003793563882182196,0.9364648851211874,0.7873921913285564,0.01885310544705287,0.05553427641350161,3
