modelo,V3_hier_hard_cv_mean,V3_hier_hard_cv_std,V3plus_soft3zone_cv_mean,V3plus_soft3zone_cv_std
RandomForest,0.3716072594333464,0.3457648711605957,0.34956260608434514,0.3631913851321089
GradientBoosting,0.37239848544196363,0.3254021433403949,0.35132001566784177,0.34248765403946047
LogisticRegression,0.4430970100535318,0.3061470042534918,0.4327562344953649,0.31649187053696354
SVM_RBF,0.31790573181877535,0.3129235816513217,0.3088549418984201,0.31038194790506096
KNN,0.3673769421595509,0.2703778043474249,0.36398224311267785,0.25782099483518556
MLP,0.31045045045045044,0.2986768027640582,0.31674631152892024,0.3230999076985264
NaiveBayes,0.5185115550332943,0.31672657029165996,0.5588458023240632,0.3127916721332221
