X0_missing_rate,X0_obs_vs_full_ratio,X0_iqr_ratio,X0_obs_skew_diff,coef_X1_abs,auc_mask_from_Xobs,log_pval_X1_mask,X1_mean_diff,X1_mannwhitney_pval,little_proxy_score,X0_ks_obs_vs_imputed,X0_tail_missing_ratio,mask_entropy,X0_censoring_score,X0_mean_shift_X1_to_X4,mechdetect_auc_complete,mechdetect_auc_shuffled,mechdetect_auc_excluded,mechdetect_delta_complete_shuffled,mechdetect_delta_complete_excluded,mechdetect_mwu_pvalue,caafe_auc_self_delta,caafe_kl_density,caafe_kurtosis_excess,caafe_cond_entropy_X0_mask
0.04,0.9952551787987506,1.0072463768115942,0.053860331955904894,0.10051197819202354,0.6197916666666666,0.812633233677017,0.2377421128559265,0.10750311875775792,0.5364583333333334,0.02,1.0,1.9684392788407163,0.0,0.19193866730653258,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.13274362828858122,0.22573551319930651
0.09,0.9928231647688661,1.2028985507246386,0.09553758201587814,0.45661320763483493,0.7968936678614099,1.8888151651782876,0.2821998789740725,0.0194563074250674,0.5,0.04450549450549451,1.0,2.7725613589060143,0.0,0.18996696622812292,0.8482676224611708,0.6193834900731452,0.7931899641577062,0.22888413238802563,0.05507765830346467,0.1,0.06885964912280695,19.702364799994747,-0.21461320353589075,0.30362553225696776
0.09,0.990668437935392,1.1620553359683798,0.11470946350909494,1.0285656709861706,0.6401433691756272,1.827109380510764,0.27765095350943436,0.014973429559738212,0.44627594627594624,0.04450549450549451,1.0,3.3617003050858854,0.0054514106684023155,0.17255512365948106,0.6908004778972522,0.6665430725497465,0.643847072879331,0.024257405347505645,0.046953405017921224,1.0,0.2979532163742691,20.23991011888752,-0.16699852692035044,0.3405237479640617
0.05,0.9972393213555024,1.0555555555555558,0.040889899692537535,0.44798951021311467,0.6901881720430106,1.2454119416256975,0.2804066736702696,0.04628512262310333,0.5552631578947369,0.024736842105263158,1.0,2.357135055838902,0.0039751437029740015,0.22737752277145337,0.7014448924731184,0.7506720430107526,0.6901881720430106,-0.04922715053763427,0.011256720430107725,1.0,0.13157894736842102,19.161156431801622,0.01702070411196832,0.25464993369508215
0.03,0.9968741793661955,1.0212765957446812,0.037747779667115844,0.606388326100398,0.65625,1.0867903431455093,0.33599119161838414,0.09155461527267629,0.49140893470790376,0.014845360824742268,1.0,1.7129469015244139,0.003046721037366491,0.22099568831626415,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.10041159868494054,0.2610974657394437
0.03,0.9972438806020775,1.008403361344538,0.03327496325825341,0.8413422512007103,0.8131313131313131,1.4624366208287598,0.44313919199937846,0.03559636806583385,0.7087628865979382,0.014845360824742268,1.0,1.667568558276424,0.0,0.29368603195130166,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,-0.254697238068049,0.2924268678475954
0.08,0.9930954910076554,1.0533333333333321,0.12167761029569979,0.4887990918623631,0.6412186379928316,1.0215240963589773,0.1865617275318447,0.0910442461732544,0.47554347826086957,0.03826086956521739,1.0,3.300599929116883,0.0,0.12829922514567876,0.5860215053763441,0.5107440142162365,0.6448028673835126,0.07527749116010762,-0.058781362007168436,1.0,0.16388888888888908,19.636915546192498,2.0942841829927934,0.17614644397821738
0.06,0.9955290922628554,1.0505050505050506,0.06772288183948028,0.22245664922466982,0.4361559139784947,0.16825581510719637,0.057786054581281165,0.8960685365820231,0.25354609929078015,0.03,1.0,2.3695483538732547,0.0,0.04067161058742132,0.338877688172043,0.6184027777777777,0.4415322580645162,-0.27952508960573474,-0.10265456989247318,0.4,0.38479532163742686,20.363131475069245,0.3530546621880011,0.33858058013098963
0.05,0.9976783054881737,1.0739549839228302,0.029923739321789655,0.16367608085573812,0.5623319892473119,0.40933808073826267,0.12300484443537185,0.4766386822094201,0.381578947368421,0.024736842105263158,1.0,2.0233719162032906,0.0,0.08061063328670073,0.5940860215053764,0.0,0.5569556451612904,0.0,0.037130376344086,0.0,0.24210526315789482,21.243247620344277,-0.10153534290230004,0.24764181590255965
0.03,0.9968598999182715,1.0491803278688523,0.03750322948317186,0.20606777951481633,0.6723484848484849,0.561009321711975,-0.2131970660833422,0.3171943099619322,0.4304123711340206,0.014845360824742268,1.0,2.041087596613486,0.0,0.1644946872430163,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0872963124131263,0.2401935834314981
0.1,0.994246157186556,1.1538461538461542,0.0844582307169931,0.9096876802541923,0.8018518518518518,3.165794497267509,0.37667202724434773,0.0013207221803356894,0.5472222222222222,0.04888888888888889,1.0,3.3371113486106396,0.0,0.2528679399343047,0.9314814814814815,0.7203703703703704,0.8018518518518518,0.21111111111111103,0.12962962962962965,0.1,0.1055555555555554,20.307113391506544,-0.19637744254060197,0.3456956344401236
0.01,0.9992834086083007,1.0161812297734627,0.009468354417797364,0.4827751768895565,0.5,0.511191911952157,0.3385663464653153,0.3864453594385301,0.6515151515151515,0.004949494949494949,1.0,0.7994837793045324,0.001741103917868112,0.18358945525191156,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,-0.18948684745204591,0.21710316855319942
0.01,0.9987916882436625,1.012987012987013,0.010786123039879913,0.72215040822634,0.5,0.4167103041366862,-0.30300928115704395,0.5559009481664383,0.7196969696969697,0.004949494949494949,1.0,0.6628442045368051,0.0034821869348185723,0.24489156278751534,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,-0.6360397794697157,0.21710316855319942
0.06,0.991873356682229,1.0816326530612244,0.09165364082894256,0.0092263808992668,0.34005376344086025,0.059496944139794825,-0.022657497999008402,0.9248363693002984,0.1906028368794326,0.03,1.0,2.6377496492551997,0.0,0.022955907637236844,0.594758064516129,0.25277777777777777,0.34005376344086025,0.34198028673835124,0.25470430107526876,0.1,0.6138888888888888,19.582662314647784,0.6162295670215183,0.16492132635644413
0.02,0.9975037699236248,1.0057306590257875,0.025785233207536562,0.14761110275845274,0.8877551020408164,0.8484910017797842,0.35522723894211927,0.17963585305270968,0.8112244897959184,0.009795918367346938,1.0,1.097373389359961,0.004950152345448408,0.3003422803470126,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,-0.40315219729984575,0.2304243096623153
0.09,0.9906500237130303,1.1149825783972123,0.11736107148252672,0.35033428768318475,0.3849462365591398,0.567302018632377,0.12937288171419292,0.21474947926144305,0.39407814407814407,0.04450549450549451,1.0,3.447461932504525,0.02728543577438493,0.1182751003096121,0.3091995221027479,0.6466547192353643,0.38136200716845875,-0.3374551971326164,-0.07216248506571082,0.1,0.12119883040935653,19.17264433378211,0.12330865731086238,0.29507810259416395
0.07,0.9929919997164904,1.026819923371648,0.09554820509816886,0.24154154327216698,0.578853046594982,0.4996142226203948,0.12595548410056145,0.2797979305826537,0.3544546850998464,0.03462365591397849,1.0,2.6123129598406587,0.0,0.11195345780458056,0.5609318996415771,0.6881720430107526,0.578853046594982,-0.12724014336917555,-0.017921146953404965,0.7,0.18669590643274847,19.630284376961328,0.5632590723744615,0.2842857965034611
0.06,0.9956810524773866,1.1821862348178147,0.0709788224627792,0.13020467787486886,0.3422379032258065,0.4458749494882267,-0.12298131312013116,0.45476373077548593,0.349290780141844,0.03,1.0,1.9160002493690005,0.0,0.08509739015637315,0.4490927419354838,0.2820900537634409,0.3422379032258065,0.16700268817204295,0.10685483870967732,0.4,0.2359649122807017,18.531541932191917,0.4582706684119109,0.26975594648794116
0.05,0.9987327355267169,1.0155763239875395,0.02376925194178925,0.16046484990293797,0.36122311827956993,0.11883171280338757,0.04532658863126032,0.9621562166600016,0.3526315789473684,0.024736842105263158,1.0,2.3949599338217555,0.003974881165226188,0.04390876080886502,0.22580645161290322,0.0,0.36122311827956993,0.0,-0.1354166666666667,0.0,0.07894736842105254,19.51088331143884,-0.5230428566624314,0.28481616998877074
0.07,0.9914603592295169,1.0266666666666673,0.08879560363791594,0.6531001114960949,0.3010752688172043,0.7475954389971049,0.17428692619186403,0.22146724886097946,0.3279569892473118,0.03462365591397849,1.0,3.2066800907760427,0.004754430149207856,0.1046870641467836,0.27419354838709675,0.46326164874551967,0.3010752688172043,-0.18906810035842292,-0.02688172043010756,0.4,0.2780701754385966,18.78397127097902,-0.2904809054002757,0.30082773617175845
0.08,0.9926067737128622,1.0694444444444446,0.09040585034705761,0.3479625154077363,0.8188769414575866,2.653521980414956,0.3741671225214185,0.0036927601542560903,0.6589673913043479,0.04,1.0,3.0157042408465453,0.0,0.28406132968739384,0.9344086021505377,0.7561244630210147,0.8188769414575866,0.178284139129523,0.11553166069295107,0.1,0.079093567251462,20.960260834972157,-0.23708792586836047,0.25892538487318395
