variante,modelo,accuracy,f1_macro,recall_MCAR,recall_MAR,recall_MNAR,f1_MCAR,f1_MAR,f1_MNAR,acc_level1,acc_level2
V1_direto_stat,RandomForest,0.4271186440677966,0.4388422035480859,0.5473684210526316,0.26,0.7,0.611764705882353,0.37142857142857144,0.3333333333333333,,
V1_direto_stat,GradientBoosting,0.4576271186440678,0.4716120088911054,0.4631578947368421,0.37333333333333335,0.7,0.6027397260273972,0.42748091603053434,0.38461538461538464,,
V1_direto_stat,LogisticRegression,0.3389830508474576,0.34900141769782383,0.5473684210526316,0.18666666666666668,0.4,0.5714285714285714,0.28865979381443296,0.18691588785046728,,
V1_direto_stat,SVM_RBF,0.34576271186440677,0.3577302503531192,0.49473684210526314,0.24,0.38,0.5529411764705883,0.33488372093023255,0.18536585365853658,,
V1_direto_stat,KNN,0.39661016949152544,0.38368888984565047,0.631578947368421,0.24,0.42,0.5454545454545454,0.34951456310679613,0.25609756097560976,,
V1_direto_stat,MLP,0.376271186440678,0.38618641766756506,0.5263157894736842,0.2866666666666667,0.36,0.6060606060606061,0.35684647302904565,0.1956521739130435,,
V1_direto_stat,NaiveBayes,0.42033898305084744,0.44169462321404235,0.42105263157894735,0.3333333333333333,0.68,0.5797101449275363,0.4484304932735426,0.29694323144104806,,
V3_hier_hard,RandomForest,0.37966101694915255,0.36483586723279915,0.47368421052631576,0.42,0.08,0.6122448979591837,0.42857142857142855,0.053691275167785234,0.8067796610169492,0.3471502590673575
V3_hier_hard,GradientBoosting,0.38305084745762713,0.3692250648869115,0.47368421052631576,0.43333333333333335,0.06,0.6206896551724138,0.4482758620689655,0.03870967741935484,0.8135593220338984,0.3487179487179487
V3_hier_hard,LogisticRegression,0.4440677966101695,0.40047516175398545,0.5368421052631579,0.4666666666666667,0.2,0.5340314136125655,0.49645390070921985,0.17094017094017094,0.6983050847457627,0.5161290322580645
V3_hier_hard,SVM_RBF,0.41694915254237286,0.3967409125230323,0.4421052631578947,0.4666666666666667,0.22,0.5637583892617449,0.4778156996587031,0.14864864864864866,0.7796610169491526,0.4308510638297872
V3_hier_hard,KNN,0.4,0.37464928092913113,0.5473684210526316,0.36666666666666664,0.22,0.5279187817258884,0.44534412955465585,0.1506849315068493,0.6847457627118644,0.44
V3_hier_hard,MLP,0.41694915254237286,0.40119628969330545,0.4421052631578947,0.44666666666666666,0.28,0.5526315789473685,0.46048109965635736,0.19047619047619047,0.7694915254237288,0.43783783783783786
V3_hier_hard,NaiveBayes,0.45084745762711864,0.4640486403938215,0.4631578947368421,0.38666666666666666,0.62,0.6068965517241379,0.48132780082987553,0.30392156862745096,0.8067796610169492,0.4587628865979381
V3plus_threshold,RandomForest,0.37966101694915255,0.3699866107367009,0.4631578947368421,0.4266666666666667,0.08,0.624113475177305,0.43389830508474575,0.05194805194805195,0.8169491525423729,0.3434343434343434
V3plus_threshold,GradientBoosting,0.37966101694915255,0.37004172876762476,0.4631578947368421,0.43333333333333335,0.06,0.624113475177305,0.4482758620689655,0.03773584905660377,0.8203389830508474,0.3434343434343434
V3plus_threshold,LogisticRegression,0.41694915254237286,0.38590852661036507,0.43157894736842106,0.47333333333333333,0.22,0.5125,0.48464163822525597,0.16058394160583941,0.6983050847457627,0.4659090909090909
V3plus_threshold,SVM_RBF,0.4067796610169492,0.39326686067776667,0.4105263157894737,0.4666666666666667,0.22,0.5693430656934306,0.4666666666666667,0.1437908496732026,0.7966101694915254,0.41116751269035534
V3plus_threshold,KNN,0.39661016949152544,0.3794070220275039,0.4421052631578947,0.41333333333333333,0.26,0.5060240963855421,0.4696969696969697,0.1625,0.7084745762711865,0.43859649122807015
V3plus_threshold,MLP,0.42033898305084744,0.40581042566884246,0.4421052631578947,0.4533333333333333,0.28,0.5637583892617449,0.4657534246575342,0.18791946308724833,0.7627118644067796,0.43617021276595747
V3plus_threshold,NaiveBayes,0.45084745762711864,0.46316208202303183,0.4631578947368421,0.38666666666666666,0.62,0.6027397260273972,0.48132780082987553,0.3054187192118227,0.8101694915254237,0.46113989637305697
V3plus_soft3zone,RandomForest,0.37966101694915255,0.36134093276950424,0.47368421052631576,0.4266666666666667,0.06,0.6081081081081081,0.43537414965986393,0.04054054054054054,0.8169491525423729,0.3489583333333333
V3plus_soft3zone,GradientBoosting,0.38305084745762713,0.36907729183469357,0.47368421052631576,0.44,0.04,0.6293706293706294,0.4520547945205479,0.025806451612903226,0.8203389830508474,0.34517766497461927
V3plus_soft3zone,LogisticRegression,0.4745762711864407,0.4291550773152329,0.5684210526315789,0.49333333333333335,0.24,0.542713567839196,0.5304659498207885,0.21428571428571427,0.6983050847457627,0.5733333333333334
V3plus_soft3zone,SVM_RBF,0.423728813559322,0.40367025811952556,0.4421052631578947,0.48,0.22,0.5714285714285714,0.4948453608247423,0.14473684210526316,0.7966101694915254,0.4368421052631579
V3plus_soft3zone,KNN,0.423728813559322,0.405551287233397,0.49473684210526314,0.4066666666666667,0.34,0.5136612021857924,0.48221343873517786,0.22077922077922077,0.7084745762711865,0.49056603773584906
V3plus_soft3zone,MLP,0.423728813559322,0.39862588534896676,0.4421052631578947,0.47333333333333333,0.24,0.5454545454545454,0.47651006711409394,0.17391304347826086,0.7627118644067796,0.453551912568306
V3plus_soft3zone,NaiveBayes,0.4440677966101695,0.45332653979270515,0.4631578947368421,0.4,0.54,0.5986394557823129,0.48582995951417,0.2755102040816326,0.8101694915254237,0.453125
V3plus_fullprob,RandomForest,0.37966101694915255,0.36134093276950424,0.47368421052631576,0.4266666666666667,0.06,0.6081081081081081,0.43537414965986393,0.04054054054054054,0.8169491525423729,0.3489583333333333
V3plus_fullprob,GradientBoosting,0.38305084745762713,0.36907729183469357,0.47368421052631576,0.44,0.04,0.6293706293706294,0.4520547945205479,0.025806451612903226,0.8203389830508474,0.34517766497461927
V3plus_fullprob,LogisticRegression,0.4745762711864407,0.4291550773152329,0.5684210526315789,0.49333333333333335,0.24,0.542713567839196,0.5304659498207885,0.21428571428571427,0.6983050847457627,0.5733333333333334
V3plus_fullprob,SVM_RBF,0.423728813559322,0.40367025811952556,0.4421052631578947,0.48,0.22,0.5714285714285714,0.4948453608247423,0.14473684210526316,0.7966101694915254,0.4368421052631579
V3plus_fullprob,KNN,0.423728813559322,0.405551287233397,0.49473684210526314,0.4066666666666667,0.34,0.5136612021857924,0.48221343873517786,0.22077922077922077,0.7084745762711865,0.49056603773584906
V3plus_fullprob,MLP,0.423728813559322,0.3979876684879023,0.4421052631578947,0.47333333333333333,0.24,0.5419354838709678,0.4781144781144781,0.17391304347826086,0.7627118644067796,0.45604395604395603
V3plus_fullprob,NaiveBayes,0.4440677966101695,0.45332653979270515,0.4631578947368421,0.4,0.54,0.5986394557823129,0.48582995951417,0.2755102040816326,0.8101694915254237,0.453125
