modelo,V3_hier_hard_cv_mean,V3_hier_hard_cv_std,V3plus_threshold_cv_mean,V3plus_threshold_cv_std,V3plus_soft3zone_cv_mean,V3plus_soft3zone_cv_std,V3plus_fullprob_cv_mean,V3plus_fullprob_cv_std
RandomForest,0.38728293510902206,0.3404619118807448,0.3768847107977543,0.33083941272725503,0.36826739783261525,0.3422781094390468,0.36826739783261525,0.3422781094390468
GradientBoosting,0.3672359315837576,0.3293843516020779,0.35522653087870476,0.3232425231532303,0.35997388693040866,0.3413843454252273,0.35997388693040866,0.3413843454252273
LogisticRegression,0.41771510641075865,0.31131973020249026,0.4238020629324977,0.3130597253615288,0.4225616921269096,0.3285256363184716,0.4216921269095182,0.328928050273535
SVM_RBF,0.3594385690037864,0.3019451911668095,0.35945684815250034,0.2941776717896694,0.3289567828698263,0.3018117328177887,0.3289567828698263,0.3018117328177887
KNN,0.3622222222222222,0.29617928446357783,0.39380075727901814,0.28518071981280224,0.36867998433215826,0.28181971632837144,0.36867998433215826,0.28181971632837144
MLP,0.3667502284893589,0.312776402871878,0.37083953518736124,0.31568232205241514,0.3677634155895026,0.3162988316982296,0.3677634155895026,0.3162988316982296
NaiveBayes,0.5336284110197154,0.3213777093353082,0.5415955085520302,0.32642799192213634,0.5495652173913043,0.31323665537167106,0.5495652173913043,0.31323665537167106
