iter	Logloss
0	0.663436309
1	0.6308216684
2	0.6102357711
3	0.5887498633
4	0.5701907218
5	0.5582398996
6	0.544955797
7	0.5300175787
8	0.5173082875
9	0.5049973959
10	0.4923046923
11	0.4842744464
12	0.4722969957
13	0.4602803638
14	0.4509472933
15	0.4434317905
16	0.4369958527
17	0.4307879381
18	0.4212801351
19	0.416125454
20	0.4113645609
21	0.4037145687
22	0.3927918279
23	0.3797169225
24	0.3774450512
25	0.3720916803
26	0.3665158568
27	0.3592273642
28	0.3533305393
29	0.3491773788
30	0.345115926
31	0.3403310815
32	0.3373687195
33	0.334661011
34	0.3310890666
35	0.3268198374
36	0.3167524725
37	0.3141501949
38	0.3057422671
39	0.3009193505
40	0.2979921779
41	0.2941425473
42	0.2910270445
43	0.2890364342
44	0.2868957341
45	0.2816501406
46	0.2787825288
47	0.2765559856
48	0.2739035598
49	0.2723814811
50	0.269112327
51	0.2673137085
52	0.2651774978
53	0.2627279117
54	0.2606947841
55	0.2597730962
56	0.2581910021
57	0.2560110685
58	0.2549063971
59	0.2531562944
60	0.2510617959
61	0.2450911028
62	0.2438792081
63	0.2424722339
64	0.2404423817
65	0.2388401287
66	0.2365525175
67	0.2350942711
68	0.2331561638
69	0.2318876436
70	0.2311496664
71	0.2294443643
72	0.2282920979
73	0.2261688576
74	0.2242223941
75	0.2231131122
76	0.221178328
77	0.2198494511
78	0.2182464709
79	0.2158548918
80	0.2142925101
81	0.21266124
82	0.2115530406
83	0.2106000516
84	0.2093120069
85	0.2077892152
86	0.2069411012
87	0.2060251747
88	0.2040310174
89	0.2027612128
90	0.2020610771
91	0.200415852
92	0.1992292953
93	0.1978310589
94	0.1961569902
95	0.1951152751
96	0.1933674872
97	0.192729539
98	0.1921216695
99	0.1907617338
100	0.1898591839
101	0.1889190935
102	0.1878955831
103	0.1860603733
104	0.1841315679
105	0.1828714212
106	0.1806359078
107	0.1801858803
108	0.1793226629
109	0.1783398834
110	0.1773713829
111	0.1761005473
112	0.1750832424
113	0.1738083371
114	0.1730063959
115	0.1721871439
116	0.1715022939
117	0.170302895
118	0.1691185532
119	0.1683691921
120	0.1669612416
121	0.165945287
122	0.1644736476
123	0.1634036928
124	0.162436187
125	0.1619446502
126	0.1612154268
127	0.1603373826
128	0.158876824
129	0.1582508072
130	0.157270629
131	0.15635017
132	0.1553349549
133	0.1547184878
134	0.153910689
135	0.1528311675
136	0.1518454996
137	0.1508435889
138	0.1501670436
139	0.1492457102
140	0.1480499697
141	0.1470609866
142	0.1457507477
143	0.1450790835
144	0.1439804247
145	0.1431670632
146	0.1425089635
147	0.1417459525
148	0.1408372152
149	0.1400121072
150	0.1390293956
151	0.1377087023
152	0.1370300885
153	0.1363180341
154	0.1354949342
155	0.1347316389
156	0.1338421524
157	0.1330533491
158	0.1318507567
159	0.1307191085
160	0.1296081195
161	0.1290180912
162	0.1283179123
163	0.1275643971
164	0.1268682391
165	0.1261122726
166	0.1240602998
167	0.1231500452
168	0.122301672
169	0.1219257039
170	0.1211978181
171	0.1204246562
172	0.1199820787
173	0.1194887221
174	0.1190520999
175	0.1180622799
176	0.1164358716
177	0.1159674406
178	0.1155339261
179	0.1147641926
180	0.1138450077
181	0.1126880515
182	0.1121289754
183	0.1115926105
184	0.110922289
185	0.1102978694
186	0.109843418
187	0.1090802135
188	0.1083274034
189	0.1078350722
190	0.1069244471
191	0.1059596706
192	0.1053864986
193	0.1046480991
194	0.1042713978
195	0.1038153329
196	0.1034586049
197	0.1028505546
198	0.1020952836
199	0.1008867535
200	0.1003695089
201	0.1000010124
202	0.09936089639
203	0.098716792
204	0.09817906501
205	0.09755495851
206	0.09676257781
207	0.09553648579
208	0.09423986493
209	0.09324404179
210	0.09259821548
211	0.09195892539
212	0.09140519542
213	0.09099594242
214	0.09064287434
215	0.09011386983
216	0.08930949062
217	0.0885674112
218	0.08792464368
219	0.08755034954
220	0.0869306917
221	0.08636583089
222	0.08603945645
223	0.08578868873
224	0.08516610812
225	0.08387182725
226	0.08331838226
227	0.08155460876
228	0.08089809148
229	0.08042271851
230	0.07997992641
231	0.07951311675
232	0.07901626558
233	0.078378444
234	0.07784411168
235	0.07734534741
236	0.07709829133
237	0.07682857753
238	0.07641557634
239	0.07614724475
240	0.07583950127
241	0.07544925751
242	0.07507722395
243	0.07472001927
244	0.07373503149
245	0.07354278741
246	0.07316897005
247	0.07292120988
248	0.07251706527
249	0.07223008324
250	0.07153996896
251	0.07098500667
252	0.07078541875
253	0.07055332463
254	0.07019599236
255	0.06969600504
256	0.06952915231
257	0.0691452306
258	0.0688391149
259	0.06844171771
260	0.06806163287
261	0.06773605952
262	0.06742908411
263	0.06728007589
264	0.06707347494
265	0.06654285616
266	0.06569664908
267	0.06553942466
268	0.06466423517
269	0.06439621214
270	0.06406166209
271	0.0636376353
272	0.0630737827
273	0.06280586345
274	0.06231860537
275	0.06143861993
276	0.06107442431
277	0.06072007595
278	0.06026220649
279	0.06010339267
280	0.05964619231
281	0.05933989117
282	0.05918426605
283	0.05889340642
284	0.05863195622
285	0.05837756563
286	0.0580344426
287	0.0578019096
288	0.05715219028
289	0.05686886042
290	0.05661793336
291	0.05614306781
292	0.05584491095
293	0.05495181397
294	0.05481469698
295	0.05437852293
296	0.05413654147
297	0.05382795127
298	0.0535073749
299	0.0532058846
