feature,rf_importance,perm_importance,mi_score,f_score,p_value,rfe_ranking,rf_importance_norm,perm_importance_norm,mi_score_norm,f_score_norm,combined_score
X1_mannwhitney_stat,0.06777429686981576,0.007199999999999984,0.41765007772182816,1308.7580118772648,0.0,3,0.940754672729766,0.4598540133398159,0.9269095216513951,0.9865003961761907,0.8028645893863917
X1_mean_diff,0.0720424768968526,-0.0024000000000000132,0.4417166172064533,1310.803870866803,0.0,9,0.9999999986119301,0.19708029143134995,0.980321470532573,0.9880424999764227,0.7527968811147832
corr_X1_mask,0.0524767923020176,-0.0010666666666666823,0.45053890303047894,1326.667497499331,0.0,1,0.7284146032945288,0.2335766416964146,0.9999011645616641,0.9999999999999241,0.6885776064096006
X1_ttest_stat,0.057847416482757895,-0.00853333333333336,0.4505834365419463,1322.4544290154283,0.0,1,0.802962625581088,0.029197080212051883,0.9999999997780655,0.9968243222269753,0.6490127761389501
corr_mask_X1,0.05040577805367968,-0.008266666666666667,0.45053890303047894,1326.6674974993316,0.0,1,0.6996674761180381,0.03649635026506554,0.9999011645616641,0.9999999999999246,0.6208293808272489
coef_X1_abs,0.03868068406084655,-0.001333333333333353,0.38604022827740914,1070.9638714858772,2.886085173776911e-289,1,0.5369149656325176,0.22627737164340156,0.8567563671546451,0.8072586940619882,0.5617607134261025
log_pval_X1_mask,0.029968300298952873,-0.0002666666666667039,0.3796468372219486,746.6437988981966,1.6141747431546413e-225,1,0.4159809816125858,0.25547445185545287,0.8425672280617649,0.562796480885759,0.4825093718299164
pval_X1_mask,0.03397455772204444,0.001066666666666638,0.3770222370324654,457.86891613671366,8.09950891974432e-156,7,0.4715906384441602,0.2919708021205178,0.8367423353203817,0.3451271075832698,0.46544232075013375
X0_obs_mean_deviation,0.021274433512692228,0.02693333333333332,0.05962332431589412,107.25641804779573,2.97897286046196e-44,1,0.2953040261736374,0.9999999972627737,0.13232471384267389,0.08084649563659163,0.43122544892677644
X1_ttest_pval,0.024461814493105558,-0.003466666666666662,0.3770222370324654,457.8689161367126,8.099508919748924e-156,7,0.3395471048861112,0.16788321121929867,0.8367423353203817,0.345127107583269,0.3886029834123531
coef_max,0.01826375360487943,0.0026666666666666393,0.26487756465595536,554.882936306512,6.098938921377434e-181,1,0.2535136820139782,0.33576642243859545,0.5878546415953564,0.4182532076442535,0.3780056011836941
X1_mannwhitney_pval,0.02548745059395177,-0.004000000000000026,0.3530273256701095,455.68985409933754,3.1312305268313217e-155,6,0.35378365176235227,0.15328467111327193,0.7834893539387706,0.34348459953850097,0.37751528755814157
X0_mean,0.021901770373425757,0.014399999999999968,0.05962332431589412,107.25641804757035,2.9789728610491294e-44,1,0.3040119008454221,0.656934304771165,0.13232471384267389,0.08084649563642174,0.3309181035807952
mi_mask_X1,0.018976924788689266,-0.0008000000000000229,0.22936103075114156,471.279779253839,2.0770823087348124e-159,1,0.26341299716163746,0.24087591174942735,0.5090312073175518,0.35523579204445005,0.3241400725457198
auc_mask_from_Xobs,0.014359074031058352,-0.0018666666666666942,0.23123009207526768,354.6733400447508,9.057705404722948e-127,1,0.19931399682003817,0.21167883153737543,0.5131792988187744,0.2673415461773629,0.27940201750645155
coef_sum,0.011799214278318936,-0.0018666666666666831,0.20419660696667274,253.79421870800186,1.2969791466054495e-95,1,0.16378135192151183,0.21167883153737574,0.4531826746417589,0.19130205510149734,0.24153500098631753
X0_skew,0.01248578141731446,0.009599999999999964,0.040382805719859194,74.40633551356575,1.5690165167488103e-31,5,0.17331138430817616,0.5255474438169319,0.08962336924947636,0.05608514239913956,0.23879935076725559
X0_q75_deviation,0.016073524865968407,0.005599999999999983,0.02017982553231512,66.07631600215974,3.179804603850827e-28,4,0.22311177427548237,0.41605839302173814,0.044785990543080946,0.049806237151888956,0.21066949572816013
X0_obs_skew_mnar,0.012940977525062724,0.0050666666666666195,0.040382805719859194,74.40633551356575,1.5690165167488103e-31,5,0.17962982485496842,0.40145985291571146,0.08962336924947636,0.05608514239913956,0.20346860566092714
X0_q25,0.013153312931443412,0.003999999999999971,0.04774257757188205,59.528730263601446,1.334956810782732e-25,5,0.18257718889951627,0.37226277270366015,0.10595724052284777,0.04487087410809727,0.1966176114071419
little_proxy_score,0.011603197419982652,0.0005333333333332968,0.09778514524417048,56.62725442418163,1.970882352202423e-24,5,0.16106050074443684,0.2773722620144917,0.21701895207895738,0.04268383338772938,0.18347038592101592
X0_q50_deviation,0.014081280663416674,0.0021333333333333204,0.03457403283376492,79.62906070098649,1.3785410939099085e-33,6,0.19545803046211,0.32116788233257,0.07673169944158198,0.060021867461949034,0.18233848721911022
