feature,importance
log_pval_X1_mask,0.10511926937497025
X1_mannwhitney_pval,0.09886830465444213
X1_mean_diff,0.09335898007334271
mask_entropy,0.07440074118699105
coef_X1_abs,0.07129232143615542
mechdetect_auc_excluded,0.050977813259498704
mechdetect_auc_complete,0.03971412914397636
auc_mask_from_Xobs,0.03940060190267754
mechdetect_delta_complete_shuffled,0.030998000825197797
X0_mean_shift_X1_to_X4,0.0299062428858067
mechdetect_auc_shuffled,0.025793798376740652
little_proxy_score,0.023942707888222725
emb_7,0.022153130644493677
emb_1,0.021834917918858082
X0_iqr_ratio,0.021459332597787734
emb_0,0.02130688728164808
emb_6,0.019937688372709317
emb_2,0.01992742256914087
emb_9,0.01867955742993416
mechdetect_delta_complete_excluded,0.018556390882290344
emb_5,0.01843551654305501
emb_8,0.018322403735707992
emb_4,0.01755764304258998
X0_ks_obs_vs_imputed,0.016742989970981875
emb_3,0.016683557958359622
mechdetect_mwu_pvalue,0.016631101709641584
X0_obs_vs_full_ratio,0.01645514319720665
X0_obs_skew_diff,0.015776658883824873
X0_missing_rate,0.015766746253748177
X0_censoring_score,0.0
X0_tail_missing_ratio,0.0
