cenario,modelo,delta_groupkfold_minus_lodo,acc_groupkfold,acc_lodo
C_full,GradientBoosting,0.07155477031802121,0.39840989399293286,0.32685512367491165
C_full,KNN,0.016784452296819796,0.3710247349823322,0.3542402826855124
C_full,LogisticRegression,0.002650176678445193,0.4752650176678445,0.4726148409893993
C_full,MLP,0.06360424028268546,0.3948763250883392,0.33127208480565373
C_full,NaiveBayes,0.01855123674911663,0.5618374558303887,0.5432862190812721
C_full,RandomForest,0.06978798586572438,0.40724381625441697,0.3374558303886926
C_full,SVM_RBF,0.04946996466431092,0.3736749116607774,0.32420494699646646
C_no_prior,GradientBoosting,0.10424028268551239,0.38515901060070673,0.28091872791519434
C_no_prior,KNN,0.03268551236749112,0.35600706713780916,0.32332155477031804
C_no_prior,LogisticRegression,0.014134275618374548,0.4628975265017668,0.44876325088339225
C_no_prior,MLP,0.04328621908127206,0.38162544169611307,0.338339222614841
C_no_prior,NaiveBayes,0.0017667844522968323,0.5053003533568905,0.5035335689045937
C_no_prior,RandomForest,0.06978798586572438,0.3992932862190813,0.3295053003533569
C_no_prior,SVM_RBF,0.06095406360424027,0.3674911660777385,0.30653710247349825
C_only_prior,GradientBoosting,0.0,0.6307420494699647,0.6307420494699647
C_only_prior,KNN,-0.0061837455830388854,0.19876325088339222,0.2049469964664311
C_only_prior,LogisticRegression,0.0,0.6307420494699647,0.6307420494699647
C_only_prior,MLP,0.0,0.6307420494699647,0.6307420494699647
C_only_prior,NaiveBayes,0.0,0.6307420494699647,0.6307420494699647
C_only_prior,RandomForest,0.0,0.6307420494699647,0.6307420494699647
C_only_prior,SVM_RBF,0.0,0.6307420494699647,0.6307420494699647
