variante,modelo,accuracy,f1_macro,recall_MCAR,recall_MAR,recall_MNAR,f1_MCAR,f1_MAR,f1_MNAR,acc_level1,acc_level2
V1_direto_stat,RandomForest,0.39322033898305087,0.4028398080298436,0.4631578947368421,0.37333333333333335,0.32,0.6197183098591549,0.3875432525951557,0.20125786163522014,,
V1_direto_stat,GradientBoosting,0.3694915254237288,0.3856139132734877,0.4631578947368421,0.32666666666666666,0.32,0.6153846153846154,0.3475177304964539,0.19393939393939394,,
V1_direto_stat,LogisticRegression,0.26101694915254237,0.292885494568167,0.4421052631578947,0.20666666666666667,0.08,0.5957446808510638,0.24124513618677043,0.041666666666666664,,
V1_direto_stat,SVM_RBF,0.3525423728813559,0.3427512386275124,0.37894736842105264,0.4,0.16,0.5255474452554745,0.39603960396039606,0.10666666666666667,,
V1_direto_stat,KNN,0.4,0.3958359366386122,0.49473684210526314,0.35333333333333333,0.36,0.5562130177514792,0.4076923076923077,0.2236024844720497,,
V1_direto_stat,MLP,0.3593220338983051,0.36198381973396865,0.37894736842105264,0.36666666666666664,0.3,0.5217391304347826,0.3767123287671233,0.1875,,
V1_direto_stat,NaiveBayes,0.4033898305084746,0.42510017062749417,0.4105263157894737,0.3466666666666667,0.56,0.582089552238806,0.4351464435146444,0.25806451612903225,,
V1_direto_stat,XGBoost,0.37966101694915255,0.3918442885579036,0.4631578947368421,0.35333333333333333,0.3,0.6197183098591549,0.3706293706293706,0.18518518518518517,,
V1_direto_stat,CatBoost,0.38305084745762713,0.3984228537420027,0.4631578947368421,0.34,0.36,0.6153846153846154,0.3617021276595745,0.21818181818181817,,
V3_hier_hard,RandomForest,0.43050847457627117,0.40636592378693387,0.4631578947368421,0.5,0.16,0.624113475177305,0.47468354430379744,0.12030075187969924,0.8203389830508474,0.41919191919191917
V3_hier_hard,GradientBoosting,0.48135593220338985,0.45447278048337486,0.4631578947368421,0.56,0.28,0.6197183098591549,0.5266457680250783,0.21705426356589147,0.8169491525423729,0.49746192893401014
V3_hier_hard,LogisticRegression,0.4067796610169492,0.3828556132114323,0.4421052631578947,0.48,0.12,0.5915492957746479,0.47368421052631576,0.08333333333333333,0.8033898305084746,0.4
V3_hier_hard,SVM_RBF,0.376271186440678,0.35721857654576405,0.3894736842105263,0.44,0.16,0.5323741007194245,0.4258064516129032,0.11347517730496454,0.7796610169491526,0.38341968911917096
V3_hier_hard,KNN,0.42033898305084744,0.39360419179107575,0.5052631578947369,0.43333333333333335,0.22,0.5549132947976878,0.4676258992805755,0.15827338129496402,0.7389830508474576,0.4470588235294118
V3_hier_hard,MLP,0.39661016949152544,0.408344504672534,0.37894736842105264,0.37333333333333335,0.5,0.5413533834586466,0.3929824561403509,0.29069767441860467,0.7932203389830509,0.4090909090909091
V3_hier_hard,NaiveBayes,0.4271186440677966,0.4157246022525702,0.3684210526315789,0.49333333333333335,0.34,0.5384615384615384,0.5051194539249146,0.20359281437125748,0.7966101694915254,0.455
V3_hier_hard,XGBoost,0.4610169491525424,0.436887839398075,0.4631578947368421,0.5333333333333333,0.24,0.624113475177305,0.5047318611987381,0.18181818181818182,0.8203389830508474,0.46464646464646464
V3_hier_hard,CatBoost,0.4745762711864407,0.45780773353120624,0.4631578947368421,0.5266666666666666,0.34,0.6153846153846154,0.5080385852090032,0.25,0.8135593220338984,0.4897959183673469
V3plus_threshold,RandomForest,0.423728813559322,0.39877180394994544,0.4421052631578947,0.5,0.16,0.60431654676259,0.4716981132075472,0.12030075187969924,0.8169491525423729,0.41919191919191917
