modelo,V1_cv_mean,V1_cv_std,V2_cv_mean,V2_cv_std,V3_cv_mean,V3_cv_std,V4_cv_mean,V4_cv_std
RandomForest,0.3904321713017366,0.31370773580870936,0.40465073769421595,0.3168713141038165,0.38291160725943324,0.34421631568460054,0.3716072594333464,0.35548662061046843
GradientBoosting,0.36502415458937204,0.3022600270410946,0.3748948948948949,0.29432713897258855,0.3827209818514167,0.3419435391424337,0.3627209818514166,0.35663811486497093
LogisticRegression,0.36847630238934587,0.266749447130938,0.3778796187491841,0.2683575382818509,0.43961874918396665,0.3087080363770578,0.4517926622274449,0.3025629502916792
SVM_RBF,0.32896722809766293,0.25725080490529384,0.32302650476563516,0.27325933011042625,0.3178091134612874,0.3068440680691661,0.3256352004178091,0.3175795355370374
KNN,0.3885050267658963,0.24382628618531352,0.38563781172476824,0.24769629162013823,0.3708552030291161,0.2683230565301589,0.3717247682465074,0.2634788533619452
MLP,0.3499830265047656,0.28128272214960603,0.3416581799190495,0.2731469025607995,0.31557122339731036,0.3056532520112826,0.3799190494842668,0.33259351982183216
NaiveBayes,0.4754249902075988,0.3277945594642439,0.4950332941637289,0.31538629082491854,0.5141637289463378,0.31449954005347386,0.5124245985115551,0.3163922049455314
