modelo,V1_acc,V1_f1macro,V1_mnar_recall,V1_mnar_f1,V2_acc,V2_f1macro,V2_mnar_recall,V2_mnar_f1,V2_acc_l1,V2_acc_l2,V3_acc,V3_f1macro,V3_mnar_recall,V3_mnar_f1,V3_acc_l1,V3_acc_l2,V4_acc,V4_f1macro,V4_mnar_recall,V4_mnar_f1,V4_acc_l1,V4_acc_l2,V5_acc,V5_f1macro,V5_mnar_recall,V5_mnar_f1,V5_acc_l1,V5_acc_l2,V6_acc,V6_f1macro,V6_mnar_recall,V6_mnar_f1
RandomForest,0.4135593220338983,0.42402381770296577,0.4,0.24390243902439024,0.4101694915254237,0.42264872276859095,0.4,0.24242424242424243,0.8203389830508474,0.3888888888888889,0.43389830508474575,0.40868538093053813,0.16,0.11940298507462686,0.8203389830508474,0.42424242424242425,0.39661016949152544,0.3636362496230435,0.02,0.015384615384615385,0.8203389830508474,0.3686868686868687,0.3694915254237288,0.33621707214721747,0.02,0.014598540145985401,0.7966101694915254,0.36683417085427134,0.4067796610169492,0.37250498022037687,0.06,0.045454545454545456
GradientBoosting,0.3864406779661017,0.4044114282638244,0.38,0.2235294117647059,0.4101694915254237,0.4176734850515338,0.34,0.2125,0.8203389830508474,0.38578680203045684,0.5050847457627119,0.4878937341581564,0.4,0.29411764705882354,0.8203389830508474,0.5279187817258884,0.4440677966101695,0.39644006266957094,0.06,0.04918032786885246,0.8203389830508474,0.4365482233502538,0.42033898305084744,0.3741378021527213,0.08,0.06299212598425197,0.8,0.4371859296482412,0.4033898305084746,0.3704307296516165,0.2,0.15037593984962405
LogisticRegression,0.2711864406779661,0.30008846652880655,0.1,0.05235602094240838,0.29152542372881357,0.31179702769480405,0.1,0.05434782608695652,0.7966101694915254,0.22797927461139897,0.4101694915254237,0.37534261016234455,0.08,0.058823529411764705,0.7966101694915254,0.40932642487046633,0.3728813559322034,0.34857095791120996,0.04,0.028169014084507043,0.7966101694915254,0.35233160621761656,0.3694915254237288,0.34902516309741577,0.04,0.027972027972027972,0.8101694915254237,0.34673366834170855,0.36271186440677966,0.34488131536030675,0.04,0.027777777777777776
SVM_RBF,0.3152542372881356,0.3129040048871273,0.1,0.06329113924050633,0.30847457627118646,0.31649287772140355,0.16,0.09876543209876543,0.7796610169491526,0.27979274611398963,0.4101694915254237,0.3891358675673983,0.24,0.16901408450704225,0.7796610169491526,0.43523316062176165,0.376271186440678,0.3469081975325711,0.08,0.05673758865248227,0.7796610169491526,0.38341968911917096,0.3694915254237288,0.34460516652297474,0.08,0.0547945205479452,0.7898305084745763,0.37373737373737376,0.4033898305084746,0.36095441908106524,0.08,0.05970149253731343
KNN,0.376271186440678,0.36607721780135577,0.36,0.23076923076923078,0.3694915254237288,0.3623313389550138,0.34,0.2138364779874214,0.7016949152542373,0.40963855421686746,0.41694915254237286,0.4009211897319314,0.38,0.2638888888888889,0.7016949152542373,0.4939759036144578,0.41694915254237286,0.3860716700473293,0.26,0.2,0.7016949152542373,0.4939759036144578,0.43050847457627117,0.41063284541545414,0.3,0.2097902097902098,0.752542372881356,0.46629213483146065,0.44745762711864406,0.41435122486817644,0.26,0.19402985074626866
MLP,0.37966101694915255,0.36983217844145,0.2,0.13513513513513514,0.3593220338983051,0.3644545569460245,0.24,0.14814814814814814,0.8,0.3434343434343434,0.39661016949152544,0.4040687144230059,0.4,0.23952095808383234,0.8,0.398989898989899,0.39322033898305087,0.3776175253144709,0.18,0.1232876712328767,0.8,0.3939393939393939,0.3898305084745763,0.37565679470441377,0.18,0.12244897959183673,0.8,0.3888888888888889,0.4033898305084746,0.37923629714674495,0.16,0.1111111111111111
NaiveBayes,0.39322033898305087,0.4155251141552512,0.54,0.2465753424657534,0.38305084745762713,0.40275779848337107,0.54,0.2465753424657534,0.7966101694915254,0.39,0.41694915254237286,0.41012244460520325,0.34,0.19540229885057472,0.7966101694915254,0.44,0.4033898305084746,0.3977976046941564,0.3,0.1724137931034483,0.7966101694915254,0.42,0.3016949152542373,0.24109134168384702,0.3,0.15228426395939088,0.6949152542372882,0.42,0.38305084745762713,0.37283086442559416,0.3,0.16483516483516483
