modelo,v1_correct_v4_wrong,v1_wrong_v4_correct,mcnemar_chi2,mcnemar_p,significant_005
RandomForest,20,15,0.45714285714285713,0.49896229860376107,False
GradientBoosting,17,34,5.019607843137255,0.025061844343883588,True
LogisticRegression,7,37,19.113636363636363,1.2316176136506485e-05,True
SVM_RBF,6,24,9.633333333333333,0.0019107751373644843,True
KNN,18,30,2.5208333333333335,0.11235119769046409,False
MLP,16,20,0.25,0.6170750774519739,False
NaiveBayes,19,22,0.0975609756097561,0.7547764265871045,False
