config,n_features,modelo,accuracy,f1_macro,recall_MCAR,recall_MAR,recall_MNAR
E1_disc,6,RandomForest,0.69,0.6435956686594014,0.4507042253521127,0.9230769230769231,0.5555555555555556
E1_disc,6,GradientBoosting,0.6733333333333333,0.62559925857242,0.4507042253521127,0.9230769230769231,0.5050505050505051
E1_disc,6,LogisticRegression,0.7066666666666667,0.6656413984658259,0.5633802816901409,0.9307692307692308,0.5151515151515151
E1_disc,6,SVM_RBF,0.6833333333333333,0.6366925216063565,0.5211267605633803,0.9384615384615385,0.46464646464646464
E1_disc,6,KNN,0.6633333333333333,0.616239260562106,0.4507042253521127,0.9153846153846154,0.48484848484848486
E1_disc,6,MLP,0.6833333333333333,0.6174117446844719,0.28169014084507044,0.9,0.6868686868686869
E1_disc,6,NaiveBayes,0.6633333333333333,0.611360447450673,0.30985915492957744,0.8307692307692308,0.696969696969697
E2_stat_mnar,15,RandomForest,0.75,0.7098541572225782,0.5070422535211268,0.9307692307692308,0.6868686868686869
E2_stat_mnar,15,GradientBoosting,0.7366666666666667,0.6957563740159362,0.4788732394366197,0.9153846153846154,0.6868686868686869
E2_stat_mnar,15,LogisticRegression,0.7633333333333333,0.7004327090533987,0.3380281690140845,0.9384615384615385,0.8383838383838383
E2_stat_mnar,15,SVM_RBF,0.7633333333333333,0.6954956042408514,0.30985915492957744,0.9384615384615385,0.8585858585858586
E2_stat_mnar,15,KNN,0.72,0.6847503891838868,0.5492957746478874,0.9,0.6060606060606061
E2_stat_mnar,15,MLP,0.68,0.6380793153127147,0.5492957746478874,0.9153846153846154,0.46464646464646464
E2_stat_mnar,15,NaiveBayes,0.7,0.6562288336587572,0.39436619718309857,0.8307692307692308,0.7474747474747475
E3_baseline,21,RandomForest,0.7433333333333333,0.7024691431109593,0.4788732394366197,0.9153846153846154,0.7070707070707071
E3_baseline,21,GradientBoosting,0.74,0.6998941474731333,0.5070422535211268,0.9230769230769231,0.6666666666666666
E3_baseline,21,LogisticRegression,0.75,0.6879202468316308,0.3380281690140845,0.9307692307692308,0.8080808080808081
E3_baseline,21,SVM_RBF,0.7566666666666667,0.7024694627537141,0.36619718309859156,0.9,0.8484848484848485
E3_baseline,21,KNN,0.68,0.6393843958966197,0.5211267605633803,0.9,0.5050505050505051
E3_baseline,21,MLP,0.7133333333333334,0.6802681322296422,0.5774647887323944,0.8923076923076924,0.5757575757575758
E3_baseline,21,NaiveBayes,0.73,0.6861738474178667,0.4084507042253521,0.823076923076923,0.8383838383838383
E4_caafe,25,RandomForest,0.78,0.7434071945699853,0.5211267605633803,0.9230769230769231,0.7777777777777778
E4_caafe,25,GradientBoosting,0.7566666666666667,0.7140774258421317,0.5070422535211268,0.9461538461538461,0.6868686868686869
E4_caafe,25,LogisticRegression,0.7566666666666667,0.7006871105385524,0.38028169014084506,0.9384615384615385,0.7878787878787878
E4_caafe,25,SVM_RBF,0.7666666666666667,0.7359434237386994,0.5492957746478874,0.8923076923076924,0.7575757575757576
E4_caafe,25,KNN,0.7033333333333334,0.6658524291210086,0.5774647887323944,0.9076923076923077,0.5252525252525253
E4_caafe,25,MLP,0.73,0.695206906053158,0.5352112676056338,0.9,0.6464646464646465
E4_caafe,25,NaiveBayes,0.71,0.676449003217022,0.4788732394366197,0.823076923076923,0.7272727272727273
E5_llm,29,RandomForest,0.7533333333333333,0.7165601668024868,0.5352112676056338,0.9230769230769231,0.6868686868686869
E5_llm,29,GradientBoosting,0.7533333333333333,0.7177914223549803,0.5633802816901409,0.9307692307692308,0.6565656565656566
E5_llm,29,LogisticRegression,0.76,0.7115330650471478,0.4225352112676056,0.9307692307692308,0.7777777777777778
E5_llm,29,SVM_RBF,0.77,0.7335882394021929,0.49295774647887325,0.9076923076923077,0.7878787878787878
E5_llm,29,KNN,0.7,0.6641523779900379,0.5633802816901409,0.8923076923076924,0.5454545454545454
E5_llm,29,MLP,0.7733333333333333,0.7459077927807392,0.5915492957746479,0.8923076923076924,0.7474747474747475
E5_llm,29,NaiveBayes,0.73,0.6896666411878498,0.4507042253521127,0.8538461538461538,0.7676767676767676
E6_all,33,RandomForest,0.7866666666666666,0.7555360001009633,0.5774647887323944,0.9153846153846154,0.7676767676767676
E6_all,33,GradientBoosting,0.7433333333333333,0.7059497039560488,0.5352112676056338,0.9230769230769231,0.6565656565656566
E6_all,33,LogisticRegression,0.77,0.7271607726362879,0.4647887323943662,0.9307692307692308,0.7777777777777778
E6_all,33,SVM_RBF,0.7566666666666667,0.7198554225712391,0.49295774647887325,0.9,0.7575757575757576
E6_all,33,KNN,0.71,0.6714022691105486,0.5211267605633803,0.9,0.5959595959595959
E6_all,33,MLP,0.7666666666666667,0.7370419964036984,0.6056338028169014,0.9076923076923077,0.696969696969697
E6_all,33,NaiveBayes,0.7333333333333333,0.6961817467871075,0.4788732394366197,0.8538461538461538,0.7575757575757576
