feature,rf_importance,perm_mean,perm_std,mi_score,f_score,p_value,rfe_selected,rfe_ranking,to_remove,n_removal_reasons,removal_reasons
X1_mean_diff,0.06812625680643043,0.0,0.0,0.4378763366634588,1300.140127870549,0.0,True,1,False,0,
corr_mask_X1,0.061779488144354675,0.0,0.0,0.45173109335750694,1314.2894430295387,0.0,True,1,True,1,redundante_com_X1_mean_diff
X1_mannwhitney_stat,0.055600322123278936,0.0,0.0,0.4210788118898259,1297.615666040687,0.0,True,1,True,2,redundante_com_X1_mean_diff|redundante_com_corr_mask_X1
corr_X1_mask,0.04792385814409849,0.0,0.0,0.45173109335750694,1314.2894430295373,0.0,True,1,True,3,redundante_com_corr_mask_X1|redundante_com_X1_mean_diff|redundante_com_X1_mannwhitney_stat
X1_ttest_stat,0.04734919994066264,0.0,0.0,0.4517759565248465,1310.1003375160249,0.0,True,1,True,4,redundante_com_corr_mask_X1|redundante_com_corr_X1_mask|redundante_com_X1_mean_diff|redundante_com_X1_mannwhitney_stat
coef_X1_abs,0.033579919275122154,0.0,0.0,0.3885490638870466,1064.1515393553923,2.4737360725661812e-287,True,1,False,0,
X1_mannwhitney_pval,0.028791582487571927,0.0,0.0,0.35373452068374656,453.15939125372495,2.5758494663415863e-154,False,2,False,0,
log_pval_X1_mask,0.025426035151099112,0.0,0.0,0.38197721185509703,740.1373860954504,1.2085985880806599e-223,True,1,False,0,
pval_X1_mask,0.021653439130318492,0.0,0.0,0.3793831972961341,455.23251127108136,7.121636635579902e-155,False,2,True,1,redundante_com_X1_mannwhitney_pval
llm_mar_evidence,0.021482653988259638,0.0,0.0,0.35444911433317117,1082.5440326107723,1.3481349929641772e-290,True,1,True,3,redundante_com_coef_X1_abs|redundante_com_pval_X1_mask|redundante_com_X1_mannwhitney_pval
X0_mean,0.021268641065327696,0.0,0.0,0.05418886802620748,105.8192473205956,1.0977867780055449e-43,True,1,False,0,
X0_obs_mean_deviation,0.018761012986810578,0.0,0.0,0.05418886802620748,105.81924732028895,1.0977867783001134e-43,True,1,True,1,redundante_com_X0_mean
mi_mask_X1,0.01791243993361224,0.00013458950201883368,0.00026917900403766737,0.2278126327799388,467.5013627415654,3.6979125340532934e-158,False,4,True,1,baixa_variância
X1_ttest_pval,0.017257738212058293,0.0,0.0,0.3793831972961341,455.23251127108057,7.121636635583545e-155,False,3,True,3,redundante_com_pval_X1_mask|redundante_com_X1_mannwhitney_pval|redundante_com_llm_mar_evidence
X0_q25,0.014848104791048127,0.0,0.0,0.045765220599949696,57.79149967892256,6.7845350669765525e-25,True,1,False,0,
auc_mask_from_Xobs,0.014837725322791059,0.0,0.0,0.2326190166303126,352.7059648334512,4.959700256373561e-126,True,1,False,0,
X0_q50,0.014808981503573354,0.0,0.0,0.03425513157675475,79.48953329559568,1.6072231861129726e-33,False,4,False,0,
coef_max,0.014101921674238639,0.0,0.0,0.2683958026175699,552.8352575281447,4.0246975493331316e-180,False,3,True,1,redundante_com_auc_mask_from_Xobs
X0_obs_skew_mnar,0.013349720035864923,0.0,0.0,0.038653488661532176,73.38576988412598,4.066244679106437e-31,True,1,True,1,redundante_com_X0_q50
