variante,modelo,accuracy,f1_macro,recall_MCAR,recall_MAR,recall_MNAR,f1_MCAR,f1_MAR,f1_MNAR,acc_level1,acc_level2
V1_direto_stat,RandomForest,0.76,0.7203982900665366,0.5070422535211268,0.9307692307692308,0.7171717171717171,0.5538461538461539,0.9343629343629344,0.6729857819905213,,
V1_direto_stat,GradientBoosting,0.74,0.6998941474731333,0.5070422535211268,0.9230769230769231,0.6666666666666666,0.5255474452554745,0.9302325581395349,0.6439024390243903,,
V1_direto_stat,LogisticRegression,0.75,0.6879202468316308,0.3380281690140845,0.9307692307692308,0.8080808080808081,0.4444444444444444,0.9236641221374046,0.6956521739130435,,
V1_direto_stat,SVM_RBF,0.7566666666666667,0.7024694627537141,0.36619718309859156,0.9,0.8484848484848485,0.48148148148148145,0.9140625,0.711864406779661,,
V1_direto_stat,KNN,0.68,0.6393843958966197,0.5211267605633803,0.9,0.5050505050505051,0.4868421052631579,0.896551724137931,0.5347593582887701,,
V1_direto_stat,MLP,0.7666666666666667,0.728825139368019,0.49295774647887325,0.9076923076923077,0.7777777777777778,0.5691056910569106,0.9076923076923077,0.7096774193548387,,
V1_direto_stat,NaiveBayes,0.73,0.6861738474178667,0.4084507042253521,0.823076923076923,0.8383838383838383,0.4461538461538462,0.8842975206611571,0.7280701754385965,,
V2_hier_stat,RandomForest,0.71,0.6711458774352668,0.5492957746478874,0.9230769230769231,0.5454545454545454,0.52,0.933852140077821,0.5595854922279793,0.76,0.9206349206349206
V2_hier_stat,GradientBoosting,0.7333333333333333,0.6982448770013537,0.5774647887323944,0.9153846153846154,0.6060606060606061,0.5540540540540541,0.918918918918919,0.6217616580310881,0.78,0.927461139896373
V2_hier_stat,LogisticRegression,0.6766666666666666,0.6231521703057026,0.7605633802816901,0.9307692307692308,0.2828282828282828,0.5595854922279793,0.9236641221374046,0.38620689655172413,0.7166666666666667,0.9254658385093167
V2_hier_stat,SVM_RBF,0.6633333333333333,0.6215362208629379,0.6338028169014085,0.9,0.37373737373737376,0.5056179775280899,0.9105058365758755,0.4484848484848485,0.7066666666666667,0.9221556886227545
V2_hier_stat,KNN,0.6433333333333333,0.5947955590609552,0.6338028169014085,0.9,0.31313131313131315,0.5056179775280899,0.8863636363636364,0.3924050632911392,0.7066666666666667,0.8862275449101796
V2_hier_stat,MLP,0.6966666666666667,0.655172692340368,0.4647887323943662,0.8923076923076924,0.6060606060606061,0.4888888888888889,0.8854961832061069,0.5911330049261084,0.77,0.8888888888888888
V2_hier_stat,NaiveBayes,0.6,0.5037812237415017,0.9154929577464789,0.8461538461538461,0.050505050505050504,0.5263157894736842,0.8906882591093117,0.09433962264150944,0.61,0.9745762711864406
V3_hier_caafe_n2,RandomForest,0.71,0.6693498753268868,0.5492957746478874,0.9307692307692308,0.5353535353535354,0.52,0.9272030651340997,0.5608465608465608,0.76,0.9206349206349206
V3_hier_caafe_n2,GradientBoosting,0.7366666666666667,0.7007103257103258,0.5774647887323944,0.9230769230769231,0.6060606060606061,0.5540540540540541,0.9230769230769231,0.625,0.78,0.9326424870466321
