missing_total,missing_X0,mi_mask,corr_mask,delta_mean,dixon_extreme_score,reg_auc,reg_coef_norm,little_pvalue,little_score,jj_pvalue,jj_score
0.0078,0.039,0.08359720325341,-4.0442838981424065e-18,0.0,0.0,0.5694922489927694,0.2079614190611323,0.9790410132233068,0.0091991146897298,0.8552278107622416,0.0679181849459149
0.011,0.055,0.1244176524565479,-6.321564535604478e-17,-2.775557561562891e-16,0.0,0.5834343434343434,0.3201797402076748,0.9708157553299112,0.0128631841352019,0.8291660318610825,0.0813584977955691
0.0068,0.034,0.0782135312401754,1.7926849666314145e-17,0.0,0.0,0.6740043843624406,0.6252695856081532,0.9657600833938732,0.0151307487389725,0.8149596892400823,0.088863872454574
0.0087999999999999,0.044,0.1025187453151583,3.76280472561339e-18,0.0,0.0,0.5746957017877521,0.3027793652035379,0.9693990684586344,0.0134974019471455,0.8250687805411355,0.0835098456750829
0.0104,0.052,0.1179030709244274,-2.599887958355107e-17,-5.551115123125783e-17,0.0,0.5818321973385264,0.3135949800324079,0.9710891261384476,0.0127409089037238,0.8299680210620589,0.0809386408092772
0.0014,0.007,0.0163444638497247,-1.0809739641662512e-17,-1.1102230246251563e-16,0.0,0.7355776147316933,0.7068335068265433,0.9744650011849056,0.0112337543557211,0.840203257808257,0.0756156388591954
0.0134,0.067,0.1543285453533805,-2.9874359860808325e-17,1.1102230246251563e-16,0.0,0.5584617107389099,0.1939243248583403,0.9790698755157692,0.0091863118046382,0.8553275268607371,0.0678675509203092
0.0138,0.069,0.1582225311869816,-1.8963345208316717e-17,0.0,0.0,0.5649994551596382,0.2295097373231339,0.9721981413466948,0.0122452135470616,0.8332611063569599,0.0792188890116911
0.0096,0.048,0.1128552471172641,-1.84900750814534e-17,1.1102230246251563e-16,0.0,0.5578168767507002,0.2293313574666564,0.97870864682464,0.0093465747018482,0.8540844313468916,0.0684991945855075
0.0158,0.079,0.1864952900519773,2.820472850700328e-17,0.0,0.0,0.5404417322942866,0.1707160326337372,0.9824414860999828,0.0076933066224087,0.8674914572564574,0.0617347932917267
0.0104,0.052,0.1153611583193515,-1.6508138265275824e-18,-1.1102230246251563e-16,0.0,0.6307814021421617,0.5152412214181186,0.9564962261941892,0.0193167391194586,0.7914244170430993,0.1015905550006198
0.004,0.02,0.0471257163429474,3.450850254889555e-17,0.0,0.0,0.5787755102040816,0.2734103249557437,0.9813976688083148,0.0081549779679906,0.8636096367345356,0.0636825201621679
0.0192,0.096,0.2122646737900084,-5.712556846184669e-17,0.0,0.0,0.5506775442477876,0.1815470701738039,0.9774049643261846,0.009925459482194,0.8496835482263654,0.0707427905779069
0.0092,0.046,0.11345275684762,1.4321032137833465e-17,0.0,0.0,0.5537781423753532,0.1913309079904188,0.9843310449874552,0.0068588173893379,0.8748243034269637,0.0580791603650719
0.0158,0.079,0.1821202862297431,3.7275947246582823e-19,-2.775557561562891e-16,0.0,0.5890955070850342,0.2827276737402885,0.9675114540886082,0.0143438847917051,0.8197542069523067,0.0863163458675215
0.0144,0.072,0.1555868488534037,-2.5660203888845936e-17,0.0,0.0,0.5793672174329503,0.2457535019502549,0.9727831486385592,0.0119839612175924,0.8350246946920822,0.0783006806721859
0.0096,0.048,0.109822185587494,-4.137446450734852e-17,0.0,0.0,0.5520176820728291,0.1757370127372073,0.9816666934191878,0.0080359437610865,0.8645994587130014,0.0631850406946065
0.0145999999999999,0.073,0.1659084876941121,-4.2748359068661026e-17,0.0,0.0,0.5563683113889258,0.2060128681927034,0.9800935400988074,0.0087324732767777,0.8589097455484874,0.0660524695443139
0.0164,0.082,0.1913440127418599,2.668936988177611e-17,0.0,0.0,0.5526595462033052,0.1974079407374468,0.975074699548726,0.0109621121382627,0.8421225144256664,0.0746247214831844
0.0098,0.049,0.1171094237134417,8.254152757131618e-18,0.0,0.0,0.5664070044421554,0.2222206451860628,0.9806931286593858,0.0084668676241722,0.8610508318102832,0.0649712093790108
0.0024,0.012,0.0278086691850528,1.5144369860792085e-18,1.1102230246251563e-16,0.0,0.5942139001349528,0.3069630102742336,0.9831055243358812,0.0073998634729301,0.8700212491823426,0.0604701401515661
0.0038,0.019,0.045289502223217,4.5109565186833496e-17,0.0,0.0,0.6189709748377059,0.397742796298795,0.9778942545055056,0.00970810550658,0.8513199895934418,0.0699071689473396
0.0114,0.057,0.1300899348652874,2.64015726127656e-17,2.220446049250313e-16,0.0,0.5994493125709288,0.3322275360347598,0.97039008817545,0.0130536481191132,0.827924691415212,0.082009165135715
0.004,0.02,0.0460854764939956,-3.75269836281487e-18,0.0,0.0,0.5839285714285715,0.262376067797784,0.982251259374616,0.0077774056934576,0.8667756004878082,0.062093322459107
0.0114,0.057,0.1389242743087057,1.1842458187303285e-17,0.0,0.0,0.5611058398913509,0.2432042621658521,0.9737098588445796,0.011570432725418,0.8378576515668399,0.0768297598784409
0.0086,0.043,0.096487683532891,-2.8503713631057276e-17,0.0,0.0,0.5267186702631772,0.0811788467083855,0.9932833580553152,0.0029268408448813,0.9180448784719056,0.0371360878659657
0.0147999999999999,0.074,0.1599061774470975,3.226608894143844e-17,-1.1102230246251563e-16,0.0,0.5073696806958146,0.0311947741974772,0.9971273958570084,0.0012493514344053,0.9464033196644456,0.0239237450185221
0.018,0.09,0.2062976259640253,3.860652549739631e-17,2.220446049250313e-16,0.0,0.5155921855921857,0.0316637536353992,0.9966474799004856,0.0014584270509704,0.9420990492347988,0.0259034344951044
0.003,0.015,0.035131816314059,-1.8206737431085928e-17,-2.220446049250313e-16,0.0,0.617326565143824,0.3462857622056777,0.980475814522634,0.0085631146416922,0.8602710284967148,0.0653647026669663
0.0066,0.033,0.0804229150346041,1.8436457640274017e-17,0.0,0.0,0.5648522453072609,0.2434195033125188,0.9804345667514078,0.0085813854200083,0.8601235071622392,0.0654391829101371
0.0138,0.069,0.154018223941818,1.1410907260862613e-17,5.551115123125783e-17,0.0,0.5967402979498435,0.3458295238495409,0.9633184379438252,0.0162301272248611,0.8084756880806647,0.0923330353632258
0.02,0.1,0.2253144297330298,4.6859108898813635e-17,-5.551115123125783e-17,0.0,0.5495111111111111,0.1945017935559931,0.97909599552117,0.0091747256827665,0.8554178279357024,0.0678217027658847
0.0186,0.093,0.2060286816705821,-5.15398225621177e-17,0.0,0.0,0.5610366207869498,0.2319216682312693,0.9703083235192754,0.0130902431292378,0.8276872712747996,0.0821337236191087
0.0147999999999999,0.074,0.1717158782396785,-2.107400191283649e-17,-1.1102230246251563e-16,0.0,0.5798990134843267,0.2590544827807122,0.9688970835604624,0.0137223513450194,0.8236398105026603,0.0842626699901667
0.0062,0.031,0.0724591484882256,-1.2805754238245576e-17,1.1102230246251563e-16,0.0,0.5812776723592663,0.282225771926443,0.9821005166115608,0.0078440605066235,0.866211049079383,0.0623762808652371
0.0134,0.067,0.1626377090888301,-4.12219532212617e-17,1.1102230246251563e-16,0.0,0.5807617859256771,0.249110383948226,0.9721478026715412,0.0122677011181831,0.8331102240145946,0.0792975357907021
0.0052,0.026,0.0632444675326072,-1.657635687136063e-17,1.1102230246251563e-16,0.0,0.6219396619807298,0.4365624470242865,0.9725344811683214,0.0120949918370518,0.8342727577262006,0.0786919376008244
0.0028,0.014,0.033166962222931,1.1088277046255052e-17,0.0,0.0,0.5958417849898578,0.3943507931637092,0.97765232538911,0.0098155624006051,0.8505086135896449,0.0703212836792672
0.0094,0.047,0.1139529407890331,-1.8287050357713725e-17,0.0,0.0,0.5485700252282825,0.2099642829596984,0.9798003236610386,0.0088624214175736,0.8578744346046026,0.0665762743296645
0.003,0.015,0.0343648427614664,-3.2563147571016297e-18,5.551115123125783e-17,0.0,0.6091370558375635,0.3927392286368377,0.9796179532164232,0.0089432642666192,0.8572342940914144,0.0669004631123093
0.0147999999999999,0.074,0.1655648194723709,5.872646511233027e-17,0.0,0.0,0.5200075885821026,0.0883787755200661,0.990400820381038,0.0041890085836398,0.9020245968675712,0.0447816197327679
0.0124,0.062,0.14648524455207,-6.622261879229025e-18,-5.551115123125783e-17,0.0,0.587557603686636,0.294313895868827,0.9729480611377872,0.0119103430444108,0.8355252637569741,0.0780404138204215
