dataset,auc_complete,auc_excluded,delta,classification,n_samples
MNAR_quantile_threshold_seed355640739_mr8,0.5926,0.5,0.0926,Diffuse,1
MNAR_quantile_threshold_seed36567769_mr8,0.5349,0.5,0.0349,Diffuse,1
MNAR_quantile_threshold_seed371401681_mr8,0.5633,0.4783,0.0851,Diffuse,1
MNAR_quantile_threshold_seed401413458_mr5,0.5726,0.5,0.0726,Diffuse,1
MNAR_quantile_threshold_seed417174400_mr7,0.5224,0.5,0.0224,Focused,1
MNAR_quantile_threshold_seed447186177_mr10,0.4822,0.4622,0.02,Focused,1
MNAR_quantile_threshold_seed492958896_mr7,0.49,0.5,-0.01,Focused,1
MNAR_quantile_threshold_seed530938166_mr6,0.4487,0.5,-0.0513,Focused,1
MNAR_quantile_threshold_seed538731615_mr9,0.5187,0.5,0.0187,Focused,1
MNAR_quantile_threshold_seed576710885_mr5,0.4631,0.5,-0.0369,Focused,1
MNAR_quantile_threshold_seed584504334_mr6,0.5163,0.5,0.0163,Focused,1
MNAR_quantile_threshold_seed58786097_mr4,0.4812,0.5,-0.0187,Focused,1
MNAR_quantile_threshold_seed606722662_mr4,0.4115,0.4917,-0.0802,Focused,1
MNAR_quantile_threshold_seed622483604_mr10,0.5435,0.5,0.0435,Diffuse,1
MNAR_quantile_threshold_seed652495381_mr1,0.6242,0.4899,0.1343,Diffuse,1
MNAR_quantile_threshold_seed668256323_mr8,0.5018,0.5,0.0018,Focused,1
MNAR_quantile_threshold_seed698268100_mr3,0.6312,0.5,0.1312,Diffuse,1
MNAR_quantile_threshold_seed714029042_mr5,0.5635,0.5,0.0635,Diffuse,1
MNAR_quantile_threshold_seed744040819_mr10,0.5184,0.5,0.0184,Focused,1
MNAR_quantile_threshold_seed759801761_mr9,0.5084,0.5,0.0084,Focused,1
MNAR_quantile_threshold_seed782020089_mr1,0.6102,0.5,0.1102,Diffuse,1
MNAR_quantile_threshold_seed789813538_mr1,0.6707,0.5,0.1707,Diffuse,1
MNAR_quantile_threshold_seed805574480_mr9,0.5186,0.5,0.0186,Focused,1
MNAR_quantile_threshold_seed827792808_mr1,0.5293,0.5,0.0293,Focused,1
MNAR_quantile_threshold_seed835586257_mr1,0.5409,0.4778,0.0631,Diffuse,1
MNAR_quantile_threshold_seed851347199_mr9,0.5093,0.5,0.0093,Focused,1
MNAR_quantile_threshold_seed873565527_mr7,0.512,0.5,0.012,Focused,1
MNAR_quantile_threshold_seed897119918_mr7,0.5869,0.472,0.1148,Diffuse,1
MNAR_quantile_threshold_seed919338246_mr6,0.5583,0.5,0.0583,Diffuse,1
MNAR_quantile_threshold_seed965110965_mr2,0.5229,0.5,0.0229,Focused,1
