file,true_label,little_p,pklm_p,pklm_stat,levene_p,n_tests_reject,n_tests_valid,rejects_mcar,auc_obs,auc_p,auc_z,mi_max,mi_mean,caafe_quantile_ratio,caafe_tail_asym,caafe_kurt_excess,caafe_cond_entropy,log10_little_p,log10_pklm_p,log10_levene_p,log1p_quantile_ratio,tail_asym,kurt_excess,cond_entropy
MCAR_fixed_seed1133912872_mr2.txt,MCAR,0.6721830588124127,0.085,0.03104423671913202,1.0,0,3,False,0.5747448979591837,0.145,1.088585188006185,0.00378354480150489,0.001179917192915103,20.0,0.0,0.17620675989959578,0.27917866226744975,-0.1725124373544932,-1.0705810742857071,0.0,3.044522437723423,0.0,0.17620675989959578,0.27917866226744975
MCAR_uniform_seed1753789940_mr3.txt,MCAR,0.5822943508477775,0.645,0.008737842105754186,1.0,0,3,False,0.3820645008327165,0.97,-1.783638822330152,0.01605572383955578,0.005739426500541989,20.0,0.0,0.9530052214765674,0.2914073306788351,-0.23485742319703828,-0.19044028536473223,0.0,3.044522437723423,0.0,0.9530052214765674,0.2914073306788351
MCAR_block_seed171338230_mr7.txt,MCAR,0.2041611288355889,0.755,0.004966499282045741,1.0,0,3,False,0.47156641587381626,0.705,-0.500874088758468,0.005949319208810699,0.0017875586334148985,20.0,0.0,0.14216533936451503,0.17498210379763982,-0.6900269416770356,-0.12205304837081175,0.0,3.044522437723423,0.0,0.14216533936451503,0.17498210379763982
MCAR_block_seed856592952_mr10.txt,MCAR,0.7985307058169792,0.035,0.023328204714227647,0.6255420548875104,1,3,False,0.5580782204129107,0.07,1.448817023911904,0.015727795852036985,0.011367581391119264,20.0,0.0,-0.164867230043376,0.2212450102918264,-0.09770837932451971,-1.4559319556497243,-0.203743487582676,3.044522437723423,0.0,-0.164867230043376,0.2212450102918264
MCAR_block_seed1641360605_mr9.txt,MCAR,0.4743519953994353,0.26,0.01450615223142022,1.0,0,3,False,0.442979242979243,0.915,-1.329434724311905,0.0162424056118593,0.008607252425296086,20.0,0.0,-0.16133400181081914,0.27316210072917824,-0.323899268185141,-0.585026652029182,0.0,3.044522437723423,0.0,-0.16133400181081914,0.27316210072917824
MCAR_uniform_seed1981317472_mr6.txt,MCAR,0.34855884066527487,0.885,0.0036735029832889463,0.8686675942786977,0,3,False,0.5147368421052632,0.45,0.12051564482338724,0.003549613109004257,0.001078063453480771,20.0,0.0,-1.2097060940365365,0.3824985390145861,-0.45772389756826054,-0.05305672930217456,-0.061146379578816454,3.044522437723423,0.0,-1.2097060940365365,0.3824985390145861
MCAR_fixed_seed905049277_mr6.txt,MCAR,0.2311802663611936,0.715,0.006932361125078475,1.0,0,3,False,0.5187943262411346,0.39,0.3618639262550488,0.002367648745853934,0.0005919121864634835,20.0,0.0,-0.11330686152573755,0.20201734274389854,-0.6360492402178121,-0.1456939581989194,0.0,3.044522437723423,0.0,-0.11330686152573755,0.20201734274389854
MCAR_fixed_seed143836015_mr3.txt,MCAR,0.896065520366684,0.285,0.015346761294845556,0.8378950638491628,0,3,False,0.5056701030927836,0.46,0.07373620650009882,0.010124163705687916,0.002600945480033756,20.0,0.0,-0.29721881094178215,0.21506491312197104,-0.04766023353725294,-0.5451551399914898,-0.07681036805813064,3.044522437723423,0.0,-0.29721881094178215,0.21506491312197104
MCAR_block_seed1374517740_mr10.txt,MCAR,0.6714852990195186,0.175,0.01791738014289293,0.00941694260307374,1,3,False,0.46530968304739745,0.8,-0.7897714955366947,0.009976549777868327,0.003535908497387996,20.0,0.0,-0.0935200695953009,0.26047523860752725,-0.17296349099912345,-0.7569619513137056,-2.0260900766275842,3.044522437723423,0.0,-0.0935200695953009,0.26047523860752725
MCAR_uniform_seed1486947075_mr5.txt,MCAR,0.5940849381991335,0.19,0.020539597551741527,0.8871730754129059,0,3,False,0.3387326903116377,1.0,-2.9794854661203396,0.000293645300690315,7.341132517257876e-05,20.0,0.0,0.5490946867509665,0.32223610838564865,-0.22615145812646598,-0.721246399047171,-0.051991646950237246,3.044522437723423,0.0,0.5490946867509665,0.32223610838564865
